id,Name,Cost,Perception Entropy,Generation,s0_type,s0_x,s0_y,s0_z,s0_qw,s0_qx,s0_qy,s0_qz
89,Design 89,2.0,3.367886546489671,23,1,0.14718687198481797,0.44425315202939447,0.5390370502445169,-0.41019728779792786,-0.40843215584754944,0.744892418384552,0.3317481577396393
90,Design 90,2.0,3.3717535078082346,23,1,0.1641003460381025,0.44425315202939447,0.5847488630278294,-0.39317670464515686,-0.4843381941318512,0.7139841318130493,0.31789201498031616
91,Design 91,2.0,3.3404349669688904,24,1,0.14718687198481797,0.4569235084704168,0.5870149710018135,-0.4104362726211548,-0.40697181224823,0.7453263998031616,0.33227184414863586
92,Design 92,2.0,3.351459607768885,24,1,0.2046504715228191,0.621226632255568,0.538816734003357,-0.40624096989631653,-0.3885168135166168,0.756064236164093,0.33524593710899353
93,Design 93,2.0,3.3644626601049543,24,1,0.14718687198481797,0.44333996431570993,0.5847107210584505,-0.43798762559890747,-0.21118900179862976,0.7981050610542297,0.35580095648765564
94,Design 94,2.0,3.367528911073195,24,1,0.1641003460381025,0.45783669618410133,0.5870531129711926,-0.3944626450538635,-0.4836972653865814,0.7137546539306641,0.31778985261917114
95,Design 95,2.0,3.2968741244525965,25,1,0.1641003460381025,0.6274264042708725,0.5874002019994781,-0.414422869682312,-0.5170653462409973,0.6608775854110718,0.3523321747779846
96,Design 96,2.0,3.3404349669688904,25,1,0.14718687198481797,0.4569235084704168,0.5870149710018135,-0.4104362726211548,-0.40697181224823,0.7453263998031616,0.33227184414863586
97,Design 97,2.0,3.351459607768885,25,1,0.2046504715228191,0.621226632255568,0.538816734003357,-0.40624096989631653,-0.3885168135166168,0.756064236164093,0.33524593710899353
98,Design 98,2.0,3.3522315573650756,25,1,0.2046504715228191,0.45163692416878354,0.5384696449750713,-0.43364500999450684,-0.3939982056617737,0.7404451966285706,0.3293299674987793
99,Design 99,2.0,3.2860223179716135,26,1,0.2046504715228191,0.6203860627398983,0.5384696449750713,-0.4428757429122925,-0.3388206660747528,0.7562066316604614,0.3423640727996826
100,Design 100,2.0,3.2968741244525965,26,1,0.1641003460381025,0.6274264042708725,0.5874002019994781,-0.414422869682312,-0.5170653462409973,0.6608775854110718,0.3523321747779846
101,Design 101,2.0,3.3404349669688904,26,1,0.14718687198481797,0.4569235084704168,0.5870149710018135,-0.4104362726211548,-0.40697181224823,0.7453263998031616,0.33227184414863586
102,Design 102,2.0,3.351459607768885,26,1,0.2046504715228191,0.621226632255568,0.538816734003357,-0.40624096989631653,-0.3885168135166168,0.756064236164093,0.33524593710899353
103,Design 103,2.0,3.2860223179716135,27,1,0.2046504715228191,0.6203860627398983,0.5384696449750713,-0.4428757429122925,-0.3388206660747528,0.7562066316604614,0.3423640727996826
104,Design 104,2.0,3.2968741244525965,27,1,0.1641003460381025,0.6274264042708725,0.5874002019994781,-0.414422869682312,-0.5170653462409973,0.6608775854110718,0.3523321747779846
105,Design 105,2.0,3.3023599937224692,27,1,0.1474628921528514,0.6273428177799736,0.587593793103694,-0.41045477986335754,-0.4069901406764984,0.7452995181083679,0.3322868049144745
106,Design 106,2.0,3.3404349669688904,27,1,0.14718687198481797,0.4569235084704168,0.5870149710018135,-0.4104362726211548,-0.40697181224823,0.7453263998031616,0.33227184414863586
107,Design 107,2.0,3.2860223179716135,28,1,0.2046504715228191,0.6203860627398983,0.5384696449750713,-0.4428757429122925,-0.3388206660747528,0.7562066316604614,0.3423640727996826
108,Design 108,2.0,3.2951330277252104,28,1,0.12944667446700114,0.6273428177799736,0.5875669263572422,-0.41045406460762024,-0.40699031949043274,0.7452998161315918,0.33228689432144165
109,Design 109,2.0,3.2968741244525965,28,1,0.1641003460381025,0.6274264042708725,0.5874002019994781,-0.414422869682312,-0.5170653462409973,0.6608775854110718,0.3523321747779846
110,Design 110,2.0,3.3023599937224692,28,1,0.1474628921528514,0.6273428177799736,0.587593793103694,-0.41045477986335754,-0.4069901406764984,0.7452995181083679,0.3322868049144745
111,Design 111,2.0,3.2860223179716135,29,1,0.2046504715228191,0.6203860627398983,0.5384696449750713,-0.4428757429122925,-0.3388206660747528,0.7562066316604614,0.3423640727996826
112,Design 112,2.0,3.2951330277252104,29,1,0.12944667446700114,0.6273428177799736,0.5875669263572422,-0.41045406460762024,-0.40699031949043274,0.7452998161315918,0.33228689432144165
113,Design 113,2.0,3.2968741244525965,29,1,0.1641003460381025,0.6274264042708725,0.5874002019994781,-0.414422869682312,-0.5170653462409973,0.6608775854110718,0.3523321747779846
114,Design 114,2.0,3.3023599937224692,29,1,0.1474628921528514,0.6273428177799736,0.587593793103694,-0.41045477986335754,-0.4069901406764984,0.7452995181083679,0.3322868049144745
115,Design 115,2.0,3.283621777324436,30,1,0.12944667446700114,0.6088737900123834,0.5875669263572422,-0.4234628975391388,-0.3883366286754608,0.7507075667381287,0.32605502009391785
116,Design 116,2.0,3.2860223179716135,30,1,0.2046504715228191,0.6203860627398983,0.5384696449750713,-0.4428757429122925,-0.3388206660747528,0.7562066316604614,0.3423640727996826
117,Design 117,2.0,3.2951330277252104,30,1,0.12944667446700114,0.6273428177799736,0.5875669263572422,-0.41045406460762024,-0.40699031949043274,0.7452998161315918,0.33228689432144165
118,Design 118,2.0,3.2968741244525965,30,1,0.1641003460381025,0.6274264042708725,0.5874002019994781,-0.414422869682312,-0.5170653462409973,0.6608775854110718,0.3523321747779846
119,Design 119,2.0,3.224600078712932,31,1,0.12944667446700114,0.6274288813456016,0.5875687992075194,-0.43945908546447754,-0.4357505738735199,0.7016030550003052,0.3532000780105591
120,Design 120,2.0,3.283621777324436,31,1,0.12944667446700114,0.6088737900123834,0.5875669263572422,-0.4234628975391388,-0.3883366286754608,0.7507075667381287,0.32605502009391785
121,Design 121,2.0,3.2860223179716135,31,1,0.2046504715228191,0.6203860627398983,0.5384696449750713,-0.4428757429122925,-0.3388206660747528,0.7562066316604614,0.3423640727996826
122,Design 122,2.0,3.2951330277252104,31,1,0.12944667446700114,0.6273428177799736,0.5875669263572422,-0.41045406460762024,-0.40699031949043274,0.7452998161315918,0.33228689432144165
123,Design 123,2.0,3.224600078712932,32,1,0.12944667446700114,0.6274288813456016,0.5875687992075194,-0.43945908546447754,-0.4357505738735199,0.7016030550003052,0.3532000780105591
124,Design 124,2.0,3.2790426640077834,32,1,0.12944667446700114,0.6273428177799736,0.5875669263572422,-0.42124825716018677,-0.40482619404792786,0.7412302494049072,0.33052000403404236
125,Design 125,2.0,3.283621777324436,32,1,0.12944667446700114,0.6088737900123834,0.5875669263572422,-0.4234628975391388,-0.3883366286754608,0.7507075667381287,0.32605502009391785
126,Design 126,2.0,3.2860223179716135,32,1,0.2046504715228191,0.6203860627398983,0.5384696449750713,-0.4428757429122925,-0.3388206660747528,0.7562066316604614,0.3423640727996826
127,Design 127,2.0,3.224600078712932,33,1,0.12944667446700114,0.6274288813456016,0.5875687992075194,-0.43945908546447754,-0.4357505738735199,0.7016030550003052,0.3532000780105591
128,Design 128,2.0,3.2790426640077834,33,1,0.12944667446700114,0.6273428177799736,0.5875669263572422,-0.42124825716018677,-0.40482619404792786,0.7412302494049072,0.33052000403404236
129,Design 129,2.0,3.283621777324436,33,1,0.12944667446700114,0.6088737900123834,0.5875669263572422,-0.4234628975391388,-0.3883366286754608,0.7507075667381287,0.32605502009391785
130,Design 130,2.0,3.2860223179716135,33,1,0.2046504715228191,0.6203860627398983,0.5384696449750713,-0.4428757429122925,-0.3388206660747528,0.7562066316604614,0.3423640727996826
131,Design 131,2.0,3.224600078712932,34,1,0.12944667446700114,0.6274288813456016,0.5875687992075194,-0.43945908546447754,-0.4357505738735199,0.7016030550003052,0.3532000780105591
132,Design 132,2.0,3.2731096321553865,34,1,0.1299515799923503,0.620103724181411,0.5875687992075194,-0.4214724898338318,-0.4179157614707947,0.7300410270690918,0.33874398469924927
133,Design 133,2.0,3.2790426640077834,34,1,0.12944667446700114,0.6273428177799736,0.5875669263572422,-0.42124825716018677,-0.40482619404792786,0.7412302494049072,0.33052000403404236
134,Design 134,2.0,3.283621777324436,34,1,0.12944667446700114,0.6088737900123834,0.5875669263572422,-0.4234628975391388,-0.3883366286754608,0.7507075667381287,0.32605502009391785
135,Design 135,2.0,3.224600078712932,35,1,0.12944667446700114,0.6274288813456016,0.5875687992075194,-0.43945908546447754,-0.4357505738735199,0.7016030550003052,0.3532000780105591
136,Design 136,2.0,3.2731096321553865,35,1,0.1299515799923503,0.620103724181411,0.5875687992075194,-0.4214724898338318,-0.4179157614707947,0.7300410270690918,0.33874398469924927
137,Design 137,2.0,3.2790426640077834,35,1,0.12944667446700114,0.6273428177799736,0.5875669263572422,-0.42124825716018677,-0.40482619404792786,0.7412302494049072,0.33052000403404236
138,Design 138,2.0,3.2808988794821827,35,1,0.1294333674157281,0.6196874447180016,0.5875669672174233,-0.4232383370399475,-0.41963401436805725,0.7330425977706909,0.32775789499282837
139,Design 139,2.0,3.191819634688237,36,1,0.08820620268313134,0.6993497131509426,0.5875687992075194,-0.43945908546447754,-0.4357505738735199,0.7016030550003052,0.3532000780105591
140,Design 140,2.0,3.224600078712932,36,1,0.12944667446700114,0.6274288813456016,0.5875687992075194,-0.43945908546447754,-0.4357505738735199,0.7016030550003052,0.3532000780105591
141,Design 141,2.0,3.2620448544541882,36,1,0.23367016595584744,0.7350948420222143,0.5875687992075194,-0.43129122257232666,-0.36844363808631897,0.7470482587814331,0.3466354310512543
142,Design 142,2.0,3.2731096321553865,36,1,0.1299515799923503,0.620103724181411,0.5875687992075194,-0.4214724898338318,-0.4179157614707947,0.7300410270690918,0.33874398469924927
143,Design 143,2.0,3.1780442536685416,37,1,0.12976771133298984,0.6993497131509426,0.6592252496000442,-0.43945908546447754,-0.4357505738735199,0.7016030550003052,0.3532000780105591
144,Design 144,2.0,3.191819634688237,37,1,0.08820620268313134,0.6993497131509426,0.5875687992075194,-0.43945908546447754,-0.4357505738735199,0.7016030550003052,0.3532000780105591
145,Design 145,2.0,3.2035961251712957,37,1,0.08788516581714545,0.6274288813456016,0.5875687992075194,-0.43945908546447754,-0.4357505738735199,0.7016030550003052,0.3532000780105591
146,Design 146,2.0,3.224600078712932,37,1,0.12944667446700114,0.6274288813456016,0.5875687992075194,-0.43945908546447754,-0.4357505738735199,0.7016030550003052,0.3532000780105591
