Generation,Cost,Perception Entropy,Coverage,s0_type,s0_x,s0_y,s0_z,s0_qw,s0_qx,s0_qy,s0_qz,s1_type,s1_x,s1_y,s1_z,s1_qw,s1_qx,s1_qy,s1_qz
71,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16237548351578174,0.005351104801160814,0.18824431275753023,-0.6684668660163879,-0.25430887937545776,-0.6620640754699707,-0.2239423543214798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16243193094117986,0.005356885453790831,0.18642104910914611,-0.6678423881530762,-0.2545088827610016,-0.6625525951385498,-0.22413325309753418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,1.0,14.809229082531399,0.1382198952879581,1,0,-0.1624552642740939,0.005351104801160814,0.18823659920552924,-0.6685390472412109,-0.2542552053928375,-0.6621630191802979,-0.2234947830438614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16237548351578174,0.005351104801160814,0.18824431275753023,-0.6684668660163879,-0.25430887937545776,-0.6620640754699707,-0.2239423543214798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16243193094117986,0.005356885453790831,0.18642104910914611,-0.6678423881530762,-0.2545088827610016,-0.6625525951385498,-0.22413325309753418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,1.0,14.809229082531399,0.1382198952879581,1,0,-0.1624552642740939,0.005351104801160814,0.18823659920552924,-0.6685390472412109,-0.2542552053928375,-0.6621630191802979,-0.2234947830438614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16237548351578174,0.005351104801160814,0.18824431275753023,-0.6684668660163879,-0.25430887937545776,-0.6620640754699707,-0.2239423543214798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16243193094117986,0.005356885453790831,0.18642104910914611,-0.6678423881530762,-0.2545088827610016,-0.6625525951385498,-0.22413325309753418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,1.0,14.809229082531399,0.1382198952879581,1,0,-0.1624552642740939,0.005351104801160814,0.18823659920552924,-0.6685390472412109,-0.2542552053928375,-0.6621630191802979,-0.2234947830438614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16237548351578174,0.005351104801160814,0.18824431275753023,-0.6684668660163879,-0.25430887937545776,-0.6620640754699707,-0.2239423543214798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16243193094117986,0.005356885453790831,0.18642104910914611,-0.6678423881530762,-0.2545088827610016,-0.6625525951385498,-0.22413325309753418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,1.0,14.809229082531399,0.1382198952879581,1,0,-0.1624552642740939,0.005351104801160814,0.18823659920552924,-0.6685390472412109,-0.2542552053928375,-0.6621630191802979,-0.2234947830438614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16237548351578174,0.005351104801160814,0.18824431275753023,-0.6684668660163879,-0.25430887937545776,-0.6620640754699707,-0.2239423543214798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16243193094117986,0.005356885453790831,0.18642104910914611,-0.6678423881530762,-0.2545088827610016,-0.6625525951385498,-0.22413325309753418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,1.0,14.809229082531399,0.1382198952879581,1,0,-0.1624552642740939,0.005351104801160814,0.18823659920552924,-0.6685390472412109,-0.2542552053928375,-0.6621630191802979,-0.2234947830438614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16237548351578174,0.005351104801160814,0.18824431275753023,-0.6684668660163879,-0.25430887937545776,-0.6620640754699707,-0.2239423543214798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16243193094117986,0.005356885453790831,0.18642104910914611,-0.6678423881530762,-0.2545088827610016,-0.6625525951385498,-0.22413325309753418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,1.0,14.809229082531399,0.1382198952879581,1,0,-0.1624552642740939,0.005351104801160814,0.18823659920552924,-0.6685390472412109,-0.2542552053928375,-0.6621630191802979,-0.2234947830438614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16237548351578174,0.005351104801160814,0.18824431275753023,-0.6684668660163879,-0.25430887937545776,-0.6620640754699707,-0.2239423543214798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16243193094117986,0.005356885453790831,0.18642104910914611,-0.6678423881530762,-0.2545088827610016,-0.6625525951385498,-0.22413325309753418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,1.0,14.809229082531399,0.1382198952879581,1,0,-0.1624552642740939,0.005351104801160814,0.18823659920552924,-0.6685390472412109,-0.2542552053928375,-0.6621630191802979,-0.2234947830438614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16237548351578174,0.005351104801160814,0.18824431275753023,-0.6684668660163879,-0.25430887937545776,-0.6620640754699707,-0.2239423543214798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16243193094117986,0.005356885453790831,0.18642104910914611,-0.6678423881530762,-0.2545088827610016,-0.6625525951385498,-0.22413325309753418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,1.0,14.809229082531399,0.1382198952879581,1,0,-0.1624552642740939,0.005351104801160814,0.18823659920552924,-0.6685390472412109,-0.2542552053928375,-0.6621630191802979,-0.2234947830438614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16237548351578174,0.005351104801160814,0.18824431275753023,-0.6684668660163879,-0.25430887937545776,-0.6620640754699707,-0.2239423543214798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16243193094117986,0.005356885453790831,0.18642104910914611,-0.6678423881530762,-0.2545088827610016,-0.6625525951385498,-0.22413325309753418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,1.0,14.809229082531399,0.1382198952879581,1,0,-0.1624552642740939,0.005351104801160814,0.18823659920552924,-0.6685390472412109,-0.2542552053928375,-0.6621630191802979,-0.2234947830438614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16237548351578174,0.005351104801160814,0.18824431275753023,-0.6684668660163879,-0.25430887937545776,-0.6620640754699707,-0.2239423543214798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16243193094117986,0.005356885453790831,0.18642104910914611,-0.6678423881530762,-0.2545088827610016,-0.6625525951385498,-0.22413325309753418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,1.0,14.809229082531399,0.1382198952879581,1,0,-0.1624552642740939,0.005351104801160814,0.18823659920552924,-0.6685390472412109,-0.2542552053928375,-0.6621630191802979,-0.2234947830438614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16237548351578174,0.005351104801160814,0.18824431275753023,-0.6684668660163879,-0.25430887937545776,-0.6620640754699707,-0.2239423543214798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16243193094117986,0.005356885453790831,0.18642104910914611,-0.6678423881530762,-0.2545088827610016,-0.6625525951385498,-0.22413325309753418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1.0,14.809229082531399,0.1382198952879581,1,0,-0.1624552642740939,0.005351104801160814,0.18823659920552924,-0.6685390472412109,-0.2542552053928375,-0.6621630191802979,-0.2234947830438614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
